constellationID,solarSystemID,solarSystemName
20000001,30000001,Tanoo
20000001,30000002,Lashesih
20000001,30000003,Akpivem
20000001,30000004,Jark
20000001,30000005,Sasta
20000001,30000006,Zaid
20000001,30000007,Yuzier
20000001,30000008,Nirbhi
20000002,30000009,Sooma
20000002,30000010,Chidah
20000002,30000011,Shenela
20000002,30000012,Asabona
20000002,30000013,Onsooh
20000002,30000014,Shamahi
20000002,30000015,Sendaya
20000002,30000016,Nazhgete
20000003,30000017,Futzchag
20000003,30000018,Kazna
20000003,30000019,Podion
20000003,30000020,Lilmad
20000003,30000021,Kuharah
20000003,30000022,Jayneleb
20000004,30000023,Fovihi
20000004,30000024,Kiereend
20000004,30000025,Rashy
20000004,30000026,Ordize
20000004,30000027,Psasa
20000004,30000028,Eshtah
20000004,30000029,Lachailes
20000004,30000030,Kasrasi
20000005,30000031,Mohas
20000005,30000032,Hasiari
20000005,30000033,Radima
20000005,30000034,Alkez
20000005,30000035,Nimambal
20000005,30000036,Yishinoon
20000005,30000037,Uplingur
20000006,30000038,Dooz
20000006,30000039,Bayuka
20000006,30000040,Uzistoon
20000006,30000041,Bairshir
20000006,30000042,Moh
20000006,30000043,Sari
20000007,30000044,Faspera
20000007,30000045,Jaymass
20000007,30000046,Mifrata
20000007,30000047,Majamar
20000007,30000048,Ihal
20000007,30000049,Camal
20000007,30000050,Fera
20000008,30000051,Juddi
20000008,30000052,Maspah
20000008,30000053,Ibaria
20000008,30000054,Shala
20000008,30000055,Zemalu
20000008,30000056,Khankenirdia
20000009,30000057,Nikh
20000009,30000058,Amphar
20000009,30000059,Salashayama
20000009,30000060,Janus
20000009,30000061,Agha
20000009,30000062,Iosantin
20000009,30000063,Orva
20000009,30000064,Zet
20000009,30000065,Akhrad
20000009,30000066,Pirohdim
20000009,30000067,Sharir
20000009,30000068,Usroh
20000009,30000069,Thiarer
20000010,30000070,Gomati
20000010,30000071,Jangar
20000010,30000072,Nakah
20000010,30000073,Irshah
20000010,30000074,Hasateem
20000010,30000075,Assah
20000011,30000076,Tidacha
20000011,30000077,Odlib
20000011,30000078,Jofan
20000011,30000079,Milu
20000011,30000080,Yadi
20000011,30000081,Buftiar
20000012,30000082,Jarizza
20000012,30000083,Ejahi
20000012,30000084,Asghatil
20000012,30000085,Bar
20000012,30000086,Sucha
20000012,30000087,Gelhan
20000012,30000088,Akeva
20000013,30000089,Sosa
20000013,30000090,Ilahed
20000013,30000091,Eshwil
20000013,30000092,Aranir
